Time (h),NW,Lie,Sit,Stand,Move,Walk,Run,Stair,Cycle,Other,SlpIBD,SlpOBD
0,-0,-57.5136111111111,-1.26401851851852,-0.655444444444444,0.205722222222222,0.339648148148148,0.000962962962962963,0.0188148148148148,0.00177777777777778,0,-0,0
1,-0,-58.8861481481482,-0.608981481481482,-0.317425925925926,0.087962962962963,0.0652592592592593,0.000777777777777778,0.00855555555555555,0.0248888888888889,0,-0,0
2,-0,-59.1937037037037,-0.548555555555556,-0.125444444444444,0.0657222222222222,0.0493148148148148,0,0.00344444444444444,0,0.0138148148148148,-0,0
3,-0,-58.6166296296296,-1.01490740740741,-0.195333333333333,0.087,0.0705925925925926,0.000222222222222222,0.000833333333333333,0,0.0144814814814815,-0,0
4,-0,-48.3701851851852,-2.64296296296296,-5.90944444444444,1.99164814814815,1.04466666666667,0.00474074074074074,0.0339074074074074,0.00244444444444444,0,-0,0
5,-0,-25.6949444444444,-9.08148148148148,-14.3152407407407,4.48351851851852,6.16740740740741,0.025,0.152981481481482,0.0505,0.0289259259259259,-0,0
6,-0,-11.6556666666667,-22.5100740740741,-12.1049444444444,4.31288888888889,8.62872222222222,0.0278148148148148,0.219666666666667,0.413944444444444,0.126277777777778,-0,0
7,-0,-4.06751851851852,-10.8903333333333,-23.0325,8.50227777777778,11.3308518518518,0.0501666666666667,1.09909259259259,1.01962962962963,0.00762962962962963,-0,0
8,-0,-1.0575,-11.0018333333333,-26.3924259259259,10.0589814814815,9.63661111111111,0.0537037037037037,1.25261111111111,0.533388888888889,0.0129444444444444,-0,0
9,-0,-0.716722222222222,-7.75911111111111,-29.5010555555556,10.6532777777778,9.81764814814815,0.0525,1.09053703703704,0.383981481481482,0.0251666666666667,-0,0
10,-0,-0.860166666666667,-8.72068518518519,-27.9560185185185,10.6015740740741,9.72851851851852,0.0466111111111111,1.27622222222222,0.796481481481482,0.0137222222222222,-0,0
11,-0,-1.29240740740741,-12.8152592592593,-24.9449259259259,8.13612962962963,10.7191666666667,0.0473333333333333,0.88887037037037,1.14651851851852,0.00938888888888889,-0,0
12,-0.210777777777778,-13.0287222222222,-27.7314074074074,-9.30240740740741,3.07014814814815,5.89514814814815,0.0301851851851852,0.298962962962963,0.4075,0.0247407407407407,-0,0
13,-0.0152222222222222,-8.15935185185185,-15.5913888888889,-20.896537037037,6.3885,7.60451851851852,0.0385,0.506388888888889,0.754240740740741,0.0453518518518518,-0,0
14,-0.0243333333333333,-9.44222222222222,-15.927537037037,-22.1827037037037,6.11135185185185,5.42331481481481,0.0239259259259259,0.529388888888889,0.289814814814815,0.0454074074074074,-0,0
15,-0.0194444444444444,-8.15057407407407,-18.7737222222222,-19.8538333333333,5.47635185185185,7.04098148148148,0.0366666666666667,0.410518518518518,0.222462962962963,0.0154444444444444,-0,0
16,-0,-5.15916666666667,-22.2154444444444,-16.7175555555556,5.08124074074074,9.80227777777778,0.0623148148148148,0.378314814814815,0.523444444444444,0.0602407407407407,-0,0
17,-0,-6.13818518518518,-19.0888888888889,-19.7663148148148,6.60383333333333,7.56748148148148,0.0676481481481481,0.413648148148148,0.326259259259259,0.0277407407407407,-0,0
18,-0,-10.3663148148148,-21.786962962963,-15.0312962962963,5.50405555555556,6.25125925925926,0.103814814814815,0.384148148148148,0.489277777777778,0.0828703703703704,-0,0
19,-0,-14.1052962962963,-25.072037037037,-11.7433148148148,3.9495,4.47561111111111,0.0984444444444444,0.282777777777778,0.181407407407407,0.0916111111111111,-0,0
20,-0,-23.1625740740741,-20.4520925925926,-9.16087037037037,3.28977777777778,3.28177777777778,0.0807592592592593,0.278388888888889,0.279351851851852,0.0144074074074074,-0,0
21,-0,-38.3734259259259,-11.8449074074074,-5.49748148148148,1.96794444444444,2.02074074074074,0.0223333333333333,0.109425925925926,0.123518518518519,0.0402222222222222,-0,0
22,-0,-48.382462962963,-6.53659259259259,-2.752,0.928222222222223,0.990203703703704,0.00292592592592593,0.0815555555555556,0.0383518518518519,0.0210185185185185,-0,0
23,-0.143481481481481,-54.8830740740741,-3.10905555555556,-0.788203703703704,0.265185185185185,0.265388888888889,0.00255555555555556,0.0332592592592593,0,0.00501851851851852,-0,0
